words,pos
biết ý,other
biệt,adjective
biệt danh,noun
biệt hiệu,noun
biệt kích,noun
biệt ly,noun
biệt tài,other
biệt thự,noun
biệt xứ,other
biểu,"noun,verb"
biểu diễn,"verb,noun"
biểu hiện,"noun,verb"
biểu lộ,verb
biểu ngữ,noun
biểu quyết,other
biểu tình,other
biếu,verb
bìm bìm,noun
bím tóc,other
bịn rịn,other
binh,other
binh bị,other
binh biến,"noun,adjective"
binh chủng,noun
binh lực,noun
binh pháp,noun
binh sĩ,noun
binh xưởng,noun
bình,noun
bình an,other
bình dân,"adjective,noun"
bình đẳng,noun
bình định,other
bình luận,noun
bình minh,noun
bình nguyên,other
bình phục,other
bình thản,adjective
bình thường,other
bình tĩnh,adjective
bỉnh bút,noun
bịnh,adjective
bịnh căn,noun
bịnh chứng,noun
bịnh dịch,noun
bịnh học,noun
bịnh nhân,noun
bịnh viện,noun
bịnh xá,noun
bịp,other
bít,verb
bít tất,other
bịt,verb
bịt bùng,noun
bìu,other
bìu dái,noun
bĩu môi,other
bíu,other
bò,noun
bò cạp,noun
bò sát,noun
bỏ,verb
bỏ bê,verb
bỏ dở,other
bỏ đói,other
bỏ hoang,other
bỏ lỡ,other
bỏ phí,other
bỏ phiếu,other
bỏ trốn,other
bỏ tù,other
bỏ xứ,other
bõ,other
bõ công,other
bõ cơn giận,other
bó,noun
bó buộc,"verb,noun"
bó gối,noun
bó lúa,noun
bó thân,other
bọ,noun
bọ chét,noun
bọ hung,noun
bọ ngựa,noun
bọ rầy,noun
bóc,verb
bóc lột,verb
bóc vảy,"verb,noun"
bọc,"verb,noun"
bói,verb
bói cá,noun
bom,"verb,noun"
bom đạn,noun
bom hóa học,other
bom khinh khí,noun
bom nguyên tử,noun
bỏm bẻm,other
bõm,other
bon bon,noun
bòn,other
bòn mót,other
bón,other
bọn,other
bong,noun
bong bóng,noun
bong gân,noun
bòng,noun
bõng,other
bóng,noun
bóng bảy,noun
bóng cá,noun
bóng dáng,noun
bóng đèn,noun
bóng gió,noun
bóng loáng,adjective
bóng trăng,other
bọng đái,noun
boong,noun
bóp,noun
bóp còi,noun
bóp nghẹt,noun
bót,noun
bọt,noun
bọt biển,noun
bô,other
bô lão,noun
bồ,noun
bồ câu,noun
bồ hóng,noun
bồ liễu,noun
bồ nhìn,other
bổ,"verb,adjective"
bổ dưỡng,adjective
bổ ích,adjective
bổ nhiệm,"verb,noun"
bổ sung,"verb,noun"
bố,noun
bố cáo,noun
bố cục,noun
bố mẹ,other
bố trí,noun
bộ,noun
bộ chỉ huy,other
bộ dạng,noun
bộ điệu,noun
bộ đồ,noun
bộ đội,noun
bộ hạ,noun
bộ hành,noun
bộ lạc,noun
bộ máy,noun
bộ mặt,noun
bộ phận,noun
bộ sách,other
bốc,verb
bốc cháy,other
bốc hơi,verb
bốc khói,"verb,noun"
bốc thuốc,"verb,noun"
bộc lộ,verb
bộc phát,"noun,verb"
bôi,verb
bôi bẩn,"verb,adjective"
bôi trơn,noun
bồi,"verb,noun"
bồi dưỡng,"verb,noun"
bồi hồi,adjective
bồi thường,"verb,noun"
bổi,noun
bối rối,adjective
bội,adjective
bội bạc,noun
bội phản,noun
bội tín,noun
bôm,other
bôn ba,other
bồn,noun
bồn chồn,noun
bồn hoa,noun
bổn phận,noun
bốn,noun
bốn phương,other
bộn,adjective
bông,noun
bông đùa,noun
bông lông,noun
bông lơn,noun
bồng,"adjective, noun"
bồng bột,adjective
bồng lai,other
bổng,adjective
bổng lộc,noun
bỗng,adverb
bốp,noun
bộp chộp,other
bột,noun
bột phát,other
bơ,noun
bơ phờ,adjective
bơ vơ,adjective
bờ,noun
bờ bến,noun
bờ biển,noun
bờ đê,noun
bờ sông,other
bở,adjective
bỡ ngỡ,adjective
bợ,other
bơi,verb
bơi ngửa,other
bơi xuồng,other
bởi,other
bởi thế,other
bới,verb
bới tác,other
bơm,"verb,noun"
bờm,noun
bờm xờm,noun
bợm,other
bỡn cợt,other
bớt,verb
bu,other
bù,other
bù xú,other
bú,other
bú dù,other
bụ,other
bùa,noun
bùa yêu,noun
búa,noun
bục,noun
bùi,adjective
bùi ngùi,adjective
bùi nhùi,noun
bụi,noun
bụi bặm,noun
bụm miệng,other
bùn,noun
bủn rủn,adjective
bủn xỉn,adjective
bún,noun
bung xung,"noun,adjective"
bùng cháy,other
bùng nổ,"verb,noun"
bủng,adjective
búng,verb
bụng,noun
bụng nhụng,other
buộc,verb
buộc tội,other
buổi,noun
buồm,noun
buôn,"verb,noun"
buôn lậu,noun
buồn,adjective
buồn bực,adjective
buồn cười,other
buồn rầu,adjective
buồn thảm,other
buông,verb
buông tha,other
buồng,noun
buồng hoa,noun
buồng the,other
buồng trứng,noun
buốt,adjective
buột,"verb,noun"
buột miệng,other
búp,noun
búp bê,noun
bút,noun
bút ký,noun
bút pháp,noun
bụt,other
bư,other
bự,adjective
bừa,adjective
bừa bãi,adjective
bửa,noun
bữa,noun
bựa,adjective
bức,adjective
bức bách,adjective
bức thư,noun
bức tranh,noun
bực bội,adjective
bực tức,adjective
bưng,verb
bưng bít,"verb,noun"
bừng,"verb,adjective"
bứng,verb
bước,noun
bước đường,other
bước ngoặt,noun
bước tiến,other
bươi,other
bưởi,noun
bươm bướm,noun
bướng,adjective
bươu,noun
bướu,noun
bướu cổ,noun
bứt,verb
bứt rứt,verb
bưu chính,noun
bưu cục,noun
bưu điện,noun
bưu kiện,noun
bưu phí,noun
bưu tá,noun
bưu thiếp,noun
bưu tín viên,noun
ca,noun
ca bô,noun
ca cao,noun
ca dao,noun
ca khúc,noun
ca kịch,noun
ca kỹ,"noun,adjective"
ca lô,noun
ca ngợi,verb
ca nhạc,noun
ca nô,noun
ca ri,noun
ca rốt,noun
ca trù,noun
ca tụng,verb
ca vũ,other
cà,noun
cà chua,noun
cà độc dược,noun
cà kheo,noun
cà khịa,noun
cà lăm,other
cà nhắc,other
cà phê,noun
cà rá,noun
cà rem,noun
cà sa,other
cà vạt,noun
cả,other
cả gan,other
cả nể,other
cả ngày,other
cả quyết,other
cả thảy,other
cá,noun
cá biển,noun
cá biệt,other
cá bống,noun
cá chép,noun
cá con,noun
cá đồng,noun
cá đuối,noun
cá gỗ,noun
cá hộp,noun
cá kho,noun
cá mập,noun
cá mè,noun
cá mòi,noun
cá muối,noun
cá ngựa,noun
cá nhân,other
cá ông,other
cá sấu,noun
cá thể,noun
cá thu,noun
cá tính,other
cá trê,noun
cá tươi,noun
cá ươn,noun
cạ,other
các,other
cách,"noun,adverb"
cách biệt,other
cách cấu tạo,other
cách chức,other
cách ly,other
cách mạng,noun
cách mạng xã hội,other
cách ngôn,noun
cách thức,other
cai,other
cai quản,other
cai thần,other
cai thợ,other
cai trị,other
cài,noun
cài cửa,other
cải,noun
cải biên,noun
cải cách,noun
cải chính,"verb,noun"
cải dạng,other
cải danh,other
cải hóa,other
cải hối,other
cải táng,noun
cải tạo,"verb,noun"
cải tiến,"verb,noun"
cải tổ,noun
cải tử hoàn sinh,other
cãi,verb
cãi bướng,other
cãi lộn,other
cái,other
cái ghẻ,noun
cái thế anh hùng,other
cam,"noun,adjective"
cam chịu,verb
cam đoan,"verb,noun"
cam kết,other
cam lòng,other
cam phận,other
cam thảo,noun
cam tuyền,"noun,adjective"
cảm,"verb,adjective"
cảm động,"adjective,verb"
cảm giác,noun
cảm hóa,"verb,noun"
cảm hoài,other
cảm hứng,noun
cảm mến,other
cảm phục,other
cảm quan,other
cảm thấy,other
cảm tình,other
cảm tử,noun
cảm tưởng,other
cảm ứng,noun
cảm xúc,noun
cám,verb
cám cảnh,other
cám dỗ,"verb,noun"
cám ơn,other
cạm bẫy,noun
can,other
can án,noun
can chi,other
can đảm,adjective
can phạm,other
can qua,other
can thiệp,"verb,noun"
can trường,other
càn,other
càn quét,"verb,noun"
càn rỡ,other
cản,"verb,noun"
cản trở,"verb,noun"
cán,"verb,noun"
cán bộ,noun
cán cân,noun
cán chổi,other
cán sự,other
cán viết,other
cạn,adjective
càng,other
cảng,noun
cáng,verb
cáng đáng,other
canh,noun
canh cánh,noun
canh gác,noun
canh giữ,"verb,noun"
canh khuya,other
canh nông,noun
canh tác,"verb,noun"
canh tân,other
canh tuần,noun
cành,noun
cành nanh,noun
cảnh,noun
cảnh báo,"noun,verb"
cảnh binh,noun
cảnh cáo,"verb,noun"
cảnh giác,"noun,adjective"
cảnh huống,noun
cảnh ngộ,noun
cảnh sát,noun
cảnh sắc,noun
cảnh tỉnh,other
cảnh tượng,noun
cánh,noun
cánh bèo,noun
cánh cửa,noun
cánh đồng,noun
cánh khuỷ,noun
cánh mũi,noun
cánh quạt gió,noun
cánh sinh,noun
cánh tay,noun
cạnh,"noun,adjective"
cạnh khóe,other
cạnh tranh,other
cao,adjective
cao áp,other
cao bay xa chạy,other
cao bồi,noun
cao cả,adjective
cao cấp,other
cao cường,other
cao danh,other
cao đẳng,noun
cao độ,noun
cao hứng,other
cao kiến,noun
cao lâu,other
cao lương,noun
cao ly,other
cao minh,other
cao ngạo,adjective
cao nguyên,noun
cao quý,adjective
cao siêu,other
cao su,noun
cao tăng,noun
cao thế,other
cao thủ,noun
cao thượng,other
cao ủy,other
cao vọng,other
cao xạ,noun
cào,verb
cào cào,noun
cảo bản,noun
cáo,noun
cáo biệt,other
cáo bịnh,other
cáo cấp,other
cáo chung,other
cáo giác,other
cáo lỗi,other
cáo mật,noun
cáo phó,other
cáo thị,other
cáo tội,other
cáo trạng,noun
cáo từ,other
cạo,verb
cạo giấy,noun
cáp,noun
cạp,"verb,noun"
cạp chiếu,noun
cát,noun
cát cánh,noun
cát hung,other
cát tường,noun
cạt tông,noun
cau,noun
cau có,other
cau mày,other
càu nhàu,other
cáu,"verb,adjective"
cáu kỉnh,adjective
cáu tiết,other
caught,other
cay,"noun,adjective"
cay đắng,adjective
cay độc,other
cay nghiệt,adjective
cày,verb
cày bừa,noun
cày cấy,"verb,noun"
cáy,other
cạy,verb
cạy cửa,other
cắc kè,noun
cặc,noun
căm,"verb,adjective"
căm căm,other
căm hờn,"verb,noun"
căm thù,"verb,noun"
cằm,noun
cắm trại,noun
cặm,other
cặm cụi,adjective
căn,noun
căn bản,other
căn cơ,other
căn cứ,noun
căn cước,noun
căn dặn,verb
căn nguyên,noun
căn tính,other
căn vặn,"verb,noun"
cằn cỗi,adjective
cằn nhằn,verb
cắn,verb
cắn câu,other
cắn cỏ,other
cắn răng,other
cắn rứt,"verb,noun"
cắn xé,other
cặn,noun
cặn bã,noun
cặn kẽ,adjective
căng,adjective
căng thẳng,"adjective,noun"
cẳng,noun
cẳng tay,noun
cắng đắng,adjective
cắp,"verb,noun"
cặp,noun
cặp bến,other
cặp đôi,noun
cặp kè,"verb,noun"
cặp vợ chồng,noun
cắt,verb
cắt bỏ,verb
cắt bớt,other
cắt cứ,other
cắt đặt,"verb,noun"
cắt may,other
cắt ngang,other
cắt nghĩa,other
cắt thuốc,other
cắt xén,"verb,noun"
câm,adjective
câm họng,other
cầm,verb
cầm ca,other
cầm cái,other
cầm canh,other
cầm cập,adjective
cầm chắc,other
cầm chừng,other
cầm cự,verb
cầm đầu,other
cầm giữ,other
cầm lái,other
cầm lòng,other
cầm máu,other
cầm quyền,other
cầm sắt,other
cầm thú,noun
cầm tù,other
cẩm,other
cẩm chướng,noun
cẩm lai,noun
cẩm nang,noun
cẩm nhung,noun
cẩm thạch,noun
cẩm tú,other
cấm,verb
cấm chỉ,other
cấm cố,other
cấm cửa,other
cấm dán giấy,other
cấm địa,noun
cấm khẩu,other
cấm kỵ,other
cấm lịnh,other
cấm thành,noun
cấm vào,other
cấm vận,other
cân,"noun,verb"
cân bàn,noun
cân bằng,other
cân đối,other
cân não,noun
cân nhắc,"verb,noun"
cân xứng,other
cần,"verb,adjective"
cần cù,adjective
cần kiệm,adjective
cần kíp,other
cần mẫn,adjective
cần thiết,other
cần vụ,other
cần xé,other
cẩn,adjective
cẩn bạch,other
cẩn mật,adjective
cẩn thẩn,adjective
cấn,adjective
cấn thai,other
cận,adjective
cận chiến,noun
cận đại,adjective
cận thị,noun
cận vệ,noun
cấp,"verb,noun"
cấp báo,other
cấp bằng,other
cấp cứu,noun
cấp dưỡng,noun
cấp hiệu,noun
cấp thời,other
cấp tiến,"adjective,noun"
cập kê,other
cất,verb
cất đi,other
cất giấu,verb
cất hàng,other
cất nhà,other
cất nhắc,verb
cất tiếng,other
cật,other
cật lực,other
cật một,other
cật vấn,other
câu chấp,other
câu chuyện,noun
câu đố,noun
câu đối,noun
câu hỏi,noun
câu lạc bộ,other
câu thúc,other
cầu,noun
cầu an,other
cầu cạnh,other
cầu chì,noun
cầu chứng,other
cầu cứu,other
cầu hôn,other
cầu nguyện,other
cầu thủ,noun
cầu tiêu,noun
cầu tự,other
cầu vồng,noun
cầu xin,other
cẩu,noun
cẩu thả,adjective
cấu,other
cấu tạo,noun
cấu thành,other
cậu,other
cây,noun
cây cỏ,noun
cây còi,noun
cây dù,noun
cây nến,noun
cây số,other
cây viết,noun
cây xăng,noun
cấy,verb
cậy,verb
cậy thế,other
cha,noun
cha đỡ đầu,other
cha ghẻ,noun
cha mẹ,other
cha sở,other
chà,other
chà là,other
chà xát,verb
chả,noun
chả giò,noun
chác,other
chạch,noun
chai,noun
chài,noun
chải,verb
chải chuốt,"verb,noun"
chải đầu,other
chàm,other
chạm,verb
chạm trán,other
chan chứa,other
chán,"adjective,verb"
chán ghét,other
chán nản,adjective
chán vạn,other
chạn,noun
chang chang,other
chàng,other
chàng hảng,other
chàng hiu,other
chạng vạng,noun
chanh,noun
chanh chua,noun
chánh,adjective
chánh án,other
chánh phạm,other
chạnh lòng,other
chao,noun
chào,verb
chào mời,other
chảo,noun
chão,noun
cháo,noun
chạo,noun
chạp,other
chát,"verb,noun"
chát tai,noun
chau mày,other
cháu,other
cháu chắt,noun
chay,verb
chày,noun
chảy,verb
chảy máu,"verb,noun"
chảy rửa,other
