en	definition	pl	ja	ko	vi	zh	ta	hu	fr	no	uk	ru	de	es	sv	fi	cs	sr	pt	it	fa	sw	nl	st	hi	da
cloud 	 A visible mass of condensed water vapor in the sky.	chmura	雲	구름	mây	云	மேகம்	felhő	nuage	sky	хмара	облако	Wolke	nube	moln	pilvi	mrak	oblak	nuvem	nuvola	ابر	wingu	wolk	Leru	बादल	sky
coffee 	 A dark, caffeinated beverage made from roasted coffee beans.	kawa	コーヒー	커피	cà phê	咖啡	காபி	kávé	café	kaffe	кава	кофе	Kaffee	café	kaffe	kahvi	káva	kafa	café	caffè	قهوه	kahawa	koffie	Kofi	कॉफी	kaffe
computer 	 An electronic device that processes data and performs tasks based on programs.	komputer	コンピューター	컴퓨터	máy tính	电脑	கணினி	számítógép	ordinateur	datamaskin	комп'ютер	компьютер	Computer	computadora	dator	tietokone	počítač	računar	computador	computer	رایانه	kompyuta	computer	khomphutha	कंप्यूटर	computer
country 	 A distinct territory with its own government and defined borders.	kraj	国	나라	quốc gia	国家	நாடு	ország	pays	land	країна	страна	Land	país	land	maa	stát	zemlja	país	paese	کشور	nchi	land	Naha	देश	land
cup 	 A small, open container used for drinking liquids.	kubek	カップ	컵	cốc	杯子	கோப்பை	csésze	tasse	kopp	чашка	чашка	Tasse	taza	kopp	kuppi	hrnek	šolja	copo	tazza	فنجان	kikombe	beker	senoelo	कप	kop
dance 	 A rhythmic movement of the body, often to music.	taniec	ダンス	춤	nhảy múa	舞蹈	ஆடல்	tánc	danse	dans	танець	танец	Tanz	baile	dans	tanssi	tanec	ples	dança	danza	رقص	cheza	dans	Bina	नृत्य	dans
daughter 	 A female child in relation to her parents.	córka	娘	딸	con gái	女儿	மகள்	lány	fille	datter	дочка	дочь	Tochter	hija	dotter	tytär	dcera	ćerka	filha	figlia	دختر	binti	dochter	Moradi	बेटी	datter
door 	 A hinged or sliding barrier that allows access to a room or building.	drzwi	ドア	문	cửa	门	கதவு	ajtó	porte	dør	двері	дверь	Tür	puerta	dörr	ovi	dveře	vrata	porta	porta	در	mlango	deur	Lemati	दरवाज़ा	dør
dream 	 A sequence of thoughts, images, or emotions occurring during sleep.	sen	夢	꿈	giấc mơ	梦	கனவு	álom	rêve	drøm	сон	сон	Traum	sueño	dröm	uni	sen	san	sonho	sogno	خواب	ndoto	droom	Toro	सपना	drøm
earth 	 The planet we live on, the third from the sun.	ziemia	地球	지구	trái đất	地球	பூமி	Föld	terre	Jorden	Земля	Земля	Erde	Tierra	jorden	maapallo	Země	Zemlja	Terra	terra	زمین	dunia	aarde	lefats'e	पृथ्वी	jord
egg 	 A round or oval object laid by birds and reptiles, often used as food.	jajko	卵	달걀	trứng	蛋	முட்டை	tojás	œuf	egg	яйце	яйцо	Ei	huevo	ägg	muna	vejce	јаје	ovo	uovo	تخم‌مرغ	yai	ei	Lehe	अंडा	æg
elephant 	 A large, gray, herbivorous mammal with a trunk and tusks.	słoń	象	코끼리	voi	大象	யானை	elefánt	éléphant	elefant	слон	слон	Elefant	elefante	elefant	elefantti	slon	slon	elefante	elefante	فیل	tembo	olifant	Tlou	हाथी	elefant
engine 	 A machine that converts energy into mechanical motion.	silnik	エンジン	엔진	động cơ	发动机	இயந்திரம்	motor	moteur	motor	двигун	двигатель	Motor	motor	motor	moottori	motor	motor	motor	motore	موتور	injini	motor	Enjene	इंजन	motor
evening 	 The time of day between afternoon and night.	wieczór	夕方	저녁	buổi tối	晚上	மாலை	este	soir	kveld	вечір	вечер	Abend	tarde	kväll	ilta	večer	veče	crepúsculo	sera	عصر	jioni	avond	mantsiboea	शाम	aften
family 	 A group of related individuals, usually consisting of parents and children.	rodzina	家族	가족	gia đình	家庭	குடும்பம்	család	famille	familie	сім'я	семья	Familie	familia	familj	perhe	rodina	porodica	família	famiglia	خانواده	familia	familie	Lelapa	परिवार	familie
feather 	 A light, flat structure that covers the bodies of birds and helps them fly.	pióro	羽	깃털	lông vũ	羽毛	இறகு	toll	plume	fjær	перо	перо	Feder	pluma	fjäder	sulka	peří	pero	pena	piuma	پر	unyoya	veer	Lesiba	पंख	fjer
field 	 A large, open area of land used for agriculture or sports.	pole	畑	들판	cánh đồng	田野	புலம்	mező	champ	åker	поле	поле	Feld	campo	fält	pelto	pole	polje	campo	campo	زمین	shamba	veld	Tšimo	मैदान	mark
fire 	 A combustion process producing heat, light, and flames.	ogień	火	불	lửa	火	தீ	tűz	feu	ild	вогонь	огонь	Feuer	fuego	eld	tuli	oheň	vatra	fogo	fuoco	آتش	moto	vuur	Mollo	आग	ild
fish 	 An aquatic animal with gills and fins.	ryba	魚	물고기	cá	鱼	மீன்	hal	poisson	fisk	риба	рыба	Fisch	pez	fisk	kala	ryba	riba	peixe	pesce	ماهی	samaki	vis	Tlhapi	मछली	fisk
flower 	 A reproductive structure in plants, often colorful and fragrant.	kwiat	花	꽃	hoa	花	மலர்	virág	fleur	blomst	квітка	цветок	Blume	flor	blomma	kukka	květina	cvet	flor	fiore	گل	ua	bloem	Palesa	फूल	blomst
forest 	 A large area covered with trees and vegetation.	las	森	숲	rừng	森林	காடு	erdő	forêt	skog	ліс	лес	Wald	bosque	skog	metsä	les	šuma	floresta	foresta	جنگل	msitu	bos	Moru	जंगल	skov
friend 	 A person with whom one has a mutual bond of affection.	przyjaciel	友達	친구	bạn bè	朋友	நண்பர்	barát	ami	venn	друг	друг	Freund	amigo	vän	ystävä	přítel	prijatelj	amigo	amico	دوست	rafiki	vriend	Motsoalle	दोस्त	ven
game 	 A structured activity with rules, often for entertainment or competition.	gra	ゲーム	게임	trò chơi	游戏	விளையாட்டு	játék	jeu	spill	гра	игра	Spiel	juego	spel	peli	hra	igra	jogo	gioco	بازی	mchezo	spel	Papadi	खेल	spil
garden 	 An outdoor area with plants, flowers, and trees, often cultivated.	ogród	庭	정원	vườn	花园	தோட்டம்	kert	jardin	hage	сад	сад	Garten	jardín	trädgård	puutarha	zahrada	bašta	jardim	giardino	باغ	bustani	tuin	Serapa	बगीचा	have
glass 	 A hard, transparent material used in windows and containers.	szkło	ガラス	유리	kính	玻璃	கண்ணாடி	üveg	verre	glass	скло	стекло	Glas	vidrio	glas	lasi	sklo	staklo	vidro	vetro	شیشه	kioo	glas	Khalase	कांच	glas
guitar 	 A musical instrument with strings played by plucking or strumming.	gitara	ギター	기타	đàn guitar	吉他	கிதார்	gitár	guitare	gitar	гітара	гитара	Gitarre	guitarra	gitarr	kitara	kytara	gitara	guitarra	chitarra	گیتار	gitaa	gitaar	Katara	गिटार	guitar
hat 	 A head covering worn for protection or fashion.	kapelusz	帽子	모자	mũ	帽子	தொப்பி	kalap	chapeau	hatt	капелюх	шляпа	Hut	sombrero	hatt	hattu	čepice	šešir	chapéu	cappello	کلاه	kofia	hoed	Katiba	टोपी	hat
history 	 The study and record of past events.	historia	歴史	역사	lịch sử	历史	வரலாறு	történelem	histoire	historie	історія	история	Geschichte	historia	historia	historia	historie	istorija	história	storia	تاریخ	historia	geschiedenis	Nalane	इतिहास	historie
holiday 	 A special day for celebration or relaxation, often official.	święto	休日	휴일	ngày lễ	假期	விடுமுறை	ünnepnap	fête	ferie	свято	праздник	Feiertag	feriado	helgdag	loma	svátek	praznik	feriado	vacanza	تعطیلات	sikukuu	feestdag	matsatsi a phomolo	छुट्टी	helligdag
horse 	 A large, four-legged animal used for riding or work.	koń	馬	말	ngựa	马	குதிரை	ló	cheval	hest	кінь	лошадь	Pferd	caballo	häst	hevonen	kůň	konj	cavalo	cavallo	اسب	farasi	paard	Pere	घोड़ा	hest
house 	 A building where people live.	dom	家	집	nhà	房子	வீடு	ház	maison	hus	дім	дом	Haus	casa	hus	talo	dům	kuća	casa	casa	خانه	nyumba	huis	Ntlo	घर	hus
ice 	 Frozen water in a solid state.	lód	氷	얼음	băng	冰	பனி	jég	glace	is	лід	лёд	Eis	hielo	is	jää	led	led	gelo	ghiaccio	یخ	barafu	ijs	Leqhoa	बर्फ	is
island 	 A piece of land surrounded by water.	wyspa	島	섬	đảo	岛	தீவு	sziget	île	øy	острів	остров	Insel	isla	ö	saari	ostrov	ostrvo	ilha	isola	جزیره	kisiwa	eiland	Sehlakehlake	द्वीप	ø
jacket 	 A short coat worn for warmth or style.	kurtka	ジャケット	재킷	áo khoác	夹克	ஜாக்கெட்	dzseki	veste	jakke	куртка	куртка	Jacke	chaqueta	jacka	takki	bunda	jakna	casaco	giacca	ژاکت	jaketi	jas	Jase	जैकेट	jakke
job 	 A paid position of employment.	praca	仕事	직업	công việc	工作	வேலை	állás	emploi	jobb	робота	работа	Beruf	trabajo	jobb	työ	práce	posao	emprego	lavoro	شغل	kazi	baan	Mosebetsi	नौकरी	arbejde
journey 	 A trip from one place to another.	podróż	旅	여행	chuyến đi	旅行	பயணம்	utazás	voyage	reise	подорож	путешествие	Reise	viaje	resa	matka	cesta	putovanje	viagem	viaggio	سفر	safari	reis	Loeto	यात्रा	rejse
key 	 A small metal object used to lock or unlock something.	klucz	鍵	열쇠	chìa khóa	钥匙	சாவி	kulcs	clé	nøkkel	ключ	ключ	Schlüssel	llave	nyckel	avain	klíč	ključ	chave	chiave	کلید	ufunguo	sleutel	Senotlolo	चाबी	nøgle
king 	 A male ruler of a country or territory, often hereditary.	król	王	왕	vua	国王	அரசன்	király	roi	konge	король	король	König	rey	kung	kuningas	král	kralj	rei	re	پادشاه	mfalme	koning	Morena	राजा	konge
kitchen 	 A room used for cooking and preparing food.	kuchnia	台所	부엌	nhà bếp	厨房	சமையலறை	konyha	cuisine	kjøkken	кухня	кухня	Küche	cocina	kök	keittiö	kuchyně	kuhinja	cozinha	cucina	آشپزخانه	jikoni	keuken	Kichine	रसोई	køkken
knowledge 	 Information, awareness, or understanding acquired through learning.	wiedza	知識	지식	kiến thức	知识	அறிவு	tudás	connaissance	kunnskap	знання	знания	Wissen	conocimiento	kunskap	tieto	vědomosti	znanje	conhecimento	conoscenza	دانش	maarifa	kennis	Tsebo	ज्ञान	viden
lake 	 A large body of water surrounded by land.	jezioro	湖	호수	hồ	湖	ஏரி	tó	lac	innsjø	озеро	озеро	See	lago	sjö	järvi	jezero	jezero	lago	lago	دریاچه	ziwa	meer	Letša	झील	sø
lamp 	 A device that produces light.	lampa	ランプ	램프	đèn	灯	விளக்கு	lámpa	lampe	lampe	лампа	лампа	Lampe	lámpara	lampa	lamppu	lampa	lampa	candeeiro	lampada	لامپ	taa	lamp	Lebone	दीपक	lampe
language 	 A system of words and grammar used for communication.	język	言語	언어	ngôn ngữ	语言	மொழி	nyelv	langue	språk	мова	язык	Sprache	idioma	språk	kieli	jazyk	jezik	língua	lingua	زبان	lugha	taal	Puo	भाषा	sprog
library 	 A building or room containing books for reading or borrowing.	biblioteka	図書館	도서관	thư viện	图书馆	நூலகம்	könyvtár	bibliothèque	bibliotek	бібліотека	библиотека	Bibliothek	biblioteca	bibliotek	kirjasto	knihovna	biblioteka	biblioteca	biblioteca	کتابخانه	maktaba	bibliotheek	Laeborari	पुस्तकालय	bibliotek
light 	 The natural or artificial illumination that makes things visible.	światło	光	빛	ánh sáng	光	ஒளி	fény	lumière	lys	світло	свет	Licht	luz	ljus	valo	světlo	svetlost	luz	luce	نور	mwanga	licht	Leseli	प्रकाश	lys
lion 	 A large, carnivorous feline known for its mane.	lew	ライオン	사자	sư tử	狮子	சிங்கம்	oroszlán	lion	løve	лев	лев	Löwe	león	lejon	leijona	lev	lav	leão	leone	شیر	simba	leeuw	Tau	शेर	løve
love 	 A deep feeling of affection or attachment.	miłość	愛	사랑	tình yêu	爱	காதல்	szeretet	amour	kjærlighet	кохання	любовь	Liebe	amor	kärlek	rakkaus	láska	ljubav	amor	amore	عشق	upendo	liefde	Lerato	प्रेम	kærlighed
machine 	 A device with moving parts that performs a function.	maszyna	機械	기계	máy móc	机器	இயந்திரம்	gép	machine	maskin	машина	машина	Maschine	máquina	maskin	kone	stroj	mašina	máquina	macchina	ماشین	mashine	machine	Mochini	यंत्र	maskine
market 	 A place where goods are bought and sold.	targ	市場	시장	chợ	市场	சந்தை	piac	marché	marked	ринок	рынок	Markt	mercado	marknad	tori	trh	pijaca	mercado	mercato	بازار	soko	markt	mmaraka	बाजार	marked
medicine 	 A substance used to treat or prevent illness.	lekarstwo	薬	약	thuốc	药	மருந்து	gyógyszer	médicament	medisin	ліки	лекарство	Medizin	medicina	medicin	lääke	lék	lek	medicamento	medicinale	دارو	dawa	medicijn	Moriane	दवा	medicin
mirror 	 A reflective surface that shows an image.	lustro	鏡	거울	gương	镜子	கண்ணாடி	tükör	miroir	speil	дзеркало	зеркало	Spiegel	espejo	spegel	peili	zrcadlo	ogledalo	espelho	specchio	آینه	kioo	spiegel	Seipone	दर्पण	spejl
money 	 A medium of exchange in the form of coins or banknotes.	pieniądze	お金	돈	tiền	钱	பணம்	pénz	argent	penger	гроші	деньги	Geld	dinero	pengar	raha	peníze	novac	dinheiro	denaro	پول	pesa	geld	Chelete	पैसा	penge
month 	 A unit of time based on the lunar cycle, roughly 30 days.	miesiąc	月	달	tháng	月份	மாதம்	hónap	mois	måned	місяць	месяц	Monat	mes	månad	kuukausi	měsíc	mesec	mês	mese	ماه	mwezi	maand	Khoeli	महीना	måned
moon 	 The natural satellite that orbits the Earth.	księżyc	月	달	mặt trăng	月亮	நிலா	hold	lune	måne	Місяць	Луна	Mond	luna	måne	kuu	měsíc	Mesec	lua	luna	ماه	mwezi	maan	Ngwedi	चंद्रमा	måne
morning 	 The early part of the day before noon.	poranek	朝	아침	buổi sáng	早晨	காலை	reggel	matin	morgen	ранок	утро	Morgen	mañana	morgon	aamu	ráno	jutro	manhã	mattina	صبح	asubuhi	ochtend	Mosa	सुबह	morgen
mountain 	 A large, natural elevation of the Earth's surface.	góra	山	산	núi	山	மலை	hegy	montagne	fjell	гора	гора	Berg	montaña	berg	vuori	hora	planina	montanha	montagna	کوه	mlima	berg	Thaba	पहाड़	bjerg
music 	 A combination of sounds organized in melody, harmony, and rhythm.	muzyka	音楽	음악	âm nhạc	音乐	இசை	zene	musique	musikk	музика	музыка	Musik	música	musik	musiikki	hudba	muzika	música	musica	موسیقی	muziki	muziek	mino	संगीत	musik
name 	 A word used to identify a person, place, or thing.	imię	名前	이름	tên	名字	பெயர்	név	nom	navn	ім'я	имя	Name	nombre	namn	nimi	jméno	ime	nome	nome	نام	jina	naam	Lebitso	नाम	navn
newspaper 	 A printed publication with news, articles, and advertisements.	gazeta	新聞	신문	báo	报纸	செய்தித்தாள்	újság	journal	avis	газета	газета	Zeitung	periódico	tidning	sanomalehti	noviny	novine	jornal	giornale	روزنامه	gazeti	krant	Koranta	समाचार पत्र	avis
night 	 The time between sunset and sunrise when it is dark.	noc	夜	밤	đêm	夜晚	இரவு	éjszaka	nuit	natt	ніч	ночь	Nacht	noche	natt	yö	noc	noć	noite	notte	شب	usiku	nacht	Bosiu	रात	nat
ocean 	 A vast body of salt water covering most of the Earth's surface.	ocean	海	바다	đại dương	海洋	பெருங்கடல்	óceán	océan	hav	океан	океан	Ozean	océano	hav	valtameri	oceán	okean	oceano	oceano	اقیانوس	bahari	oceaan	Lewatle	महासागर	ocean
office 	 A place where professional or clerical work is conducted.	biuro	事務所	사무실	văn phòng	办公室	அலுவலகம்	iroda	bureau	kontor	офіс	офис	Büro	oficina	kontor	toimisto	kancelář	kancelarija	escritório	ufficio	دفتر	ofisi	kantoor	Ofisi	कार्यालय	kontor
orange 	 A round citrus fruit with a thick peel and juicy pulp.	pomarańcza	オレンジ	오렌지	cam	橙子	ஆரஞ்சு	narancs	orange	appelsin	апельсин	апельсин	Orange	naranja	apelsin	appelsiini	pomeranč	narandža	laranja	arancia	پرتقال	chungwa	sinaasappel	Lamunu	संतरा	appelsin
page 	 A single side of a sheet in a book or document.	strona	ページ	쪽	trang	页	பக்கம்	oldal	page	side	сторінка	страница	Seite	página	sida	sivu	strana	stranica	página	pagina	صفحه	ukurasa	pagina	Leqephe	पृष्ठ	side
painting 	 A picture created using paint on a surface.	obraz	絵	그림	tranh vẽ	画	ஓவியம்	festmény	peinture	maleri	картина	картина	Gemälde	pintura	målning	maalaus	obraz	slika	quadro	dipinto	نقاشی	mchoro	schilderij	setšoantšo	चित्रकला	maleri
paper 	 A thin material used for writing or printing.	papier	紙	종이	giấy	纸	காகிதம்	papír	papier	papir	папір	бумага	Papier	papel	papper	paperi	papír	papir	papel	carta	کاغذ	karatasi	papier	pampiri	कागज	papir
park 	 A public space with greenery for recreation.	park	公園	공원	công viên	公园	பூங்கா	park	parc	park	парк	парк	Park	parque	park	puisto	park	park	parque	parco	پارک	bustani	park	Phaka	पार्क	park
party 	 A social gathering for celebration or entertainment.	przyjęcie	パーティー	파티	bữa tiệc	派对	விழா	buli	fête	fest	вечірка	вечеринка	Party	fiesta	fest	juhlat	večírek	žurka	festa	festa	مهمانی	sherehe	feest	Mokete	पार्टी	fest
pencil 	 A writing instrument with a graphite core.	ołówek	鉛筆	연필	bút chì	铅笔	பென்சில்	ceruza	crayon	blyant	олівець	карандаш	Bleistift	lápiz	penna	lyijykynä	tužka	olovka	lápis	matita	مداد	penseli	potlood	Pentšele	पेंसिल	blyant
phone 	 A device used for voice communication.	telefon	電話	전화	điện thoại	电话	தொலைபேசி	telefon	téléphone	telefon	телефон	телефон	Telefon	teléfono	telefon	puhelin	telefon	telefon	telefone	telefono	تلفن	simu	telefoon	Mohala	फोन	telefon
picture 	 A visual representation of an object, scene, or person.	obrazek	絵	사진	bức tranh	图片	படம்	kép	image	bilde	картина	картина	Bild	imagen	bild	kuva	obrázek	slika	imagem	immagine	تصویر	picha	afbeelding	Setšoantšo	चित्र	billede
plane 	 A flying vehicle with wings and engines.	samolot	飛行機	비행기	máy bay	飞机	விமானம்	repülőgép	avion	fly	літак	самолёт	Flugzeug	avión	flygplan	lentokone	letadlo	avion	avião	aereo	هواپیما	ndege	vliegtuig	Sefofane	विमान	flyvemaskine
planet 	 A celestial body orbiting a star, such as Earth.	planeta	惑星	행성	hành tinh	行星	கோள்	bolygó	planète	planet	планета	планета	Planet	planeta	planet	planeetta	planeta	planeta	planeta	pianeta	سیاره	sayari	planeet	Polanete	ग्रह	planet
plant 	 A living organism that grows in soil and uses photosynthesis.	roślina	植物	식물	cây cối	植物	செடி	növény	plante	plante	рослина	растение	Pflanze	planta	växt	kasvi	rostlina	biljka	planta	pianta	گیاه	mmea	plant	Semela	पौधा	plante
police 	 A government force responsible for law enforcement.	policja	警察	경찰	cảnh sát	警察	காவல்	rendőrség	police	politi	поліція	полиция	Polizei	policía	polis	poliisi	policie	policija	polícia	polizia	پلیس	polisi	politie	Mapolesa	पुलिस	politi
queen 	 A female ruler or the wife of a king.	królowa	女王	여왕	nữ hoàng	女王	அரசி	királynő	reine	dronning	королева	королева	Königin	reina	drottning	kuningatar	královna	kraljica	rainha	regina	ملکه	malkia	koningin	Kgosihadi	रानी	dronning
question 	 A sentence or phrase used to ask for information.	pytanie	質問	질문	câu hỏi	问题	கேள்வி	kérdés	question	spørsmål	питання	вопрос	Frage	pregunta	fråga	kysymys	otázka	pitanje	pergunta	domanda	سوال	swali	vraag	Potso	प्रश्न	spørgsmål
rain 	 Water droplets falling from clouds.	deszcz	雨	비	mưa	雨	மழை	eső	pluie	regn	дощ	дождь	Regen	lluvia	regn	sade	déšť	kiša	chuva	pioggia	باران	mvua	regen	Pula	बारिश	regn
river 	 A large, flowing body of water.	rzeka	川	강	sông	河流	ஆறு	folyó	rivière	elv	річка	река	Fluss	río	flod	joki	řeka	reka	rio	fiume	رودخانه	mto	rivier	Noka	नदी	flod
road 	 A paved path for vehicles and pedestrians.	droga	道	도로	đường	道路	சாலை	út	route	vei	дорога	дорога	Straße	carretera	väg	tie	silnice	put 	estrada	strada	جاده	barabara	weg	Tsela	सड़क	vej
room 	 An enclosed space within a building.	pokój	部屋	방	phòng	房间	அறை	szoba	pièce	rom	кімната	комната	Raum	habitación	rum	huone	místnost	soba	sala	stanza	اتاق	chumba	kamer	Kamore	कमरा	værelse
school 	 A place where students receive education.	szkoła	学校	학교	trường học	学校	பள்ளி	iskola	école	skole	школа	школа	Schule	escuela	skola	koulu	škola	škola	escola	scuola	مدرسه	shule	school	Sekolo	स्कूल	skole
ship 	 A large vessel used for traveling on water.	statek	船	배	tàu	船	கப்பல்	hajó	navire	skip	корабель	корабль	Schiff	barco	skepp	laiva	loď	brod	navio	nave	کشتی	meli	schip	Sekepe	जहाज	skib
shoe 	 A covering for the foot, usually made of leather or fabric.	but	靴	신발	giày	鞋子	காலணி	cipő	chaussure	sko	взуття	обувь	Schuh	zapato	sko	kenkä	bota	cipela	sapato	scarpa	کفش	kiatu	schoen	Seeta	जूता	sko
star 	 A luminous celestial body made of plasma.	gwiazda	星	별	ngôi sao	星星	நட்சத்திரம்	csillag	étoile	stjerne	зірка	звезда	Stern	estrella	stjärna	tähti	hvězda	zvezda	estrela	stella	ستاره	nyota	ster	Naledi	तारा	stjerne
street 	 A public road in a city or town.	ulica	通り	거리	phố	街道	தெரு	utca	rue	gate	вулиця	улица	Straße	calle	gata	katu	ulice	ulica	rua	strada	خیابان	mtaa	straat	Seterata	सड़क	gade
table 	 A flat surface supported by legs, used for eating or working.	stół	テーブル	탁자	bàn	桌子	மேசை	asztal	table	bord	стіл	стол	Tisch	mesa	bord	pöytä	stůl	sto	mesa	tavolo	میز	meza	tafel	Tafole	मेज	bord
tree 	 A tall plant with a trunk, branches, and leaves.	drzewo	木	나무	cây	树	மரம்	fa	arbre	tre	дерево	дерево	Baum	árbol	träd	puu	strom	drvo	árvore	albero	درخت	mti	boom	Sefate	पेड़	træ
